[2025-02-21 20:13:01] ('127.0.0.1', 61563) requested /index.html
[2025-02-21 20:15:58] ('127.0.0.1', 63574) requested /index.html
[2025-02-21 20:15:59] ('127.0.0.1', 63586) requested /index.html
[2025-02-21 20:16:06] ('127.0.0.1', 63587) requested /hello
[2025-02-21 20:16:24] ('127.0.0.1', 63675) requested /about.html
[2025-02-21 20:19:37] ('127.0.0.1', 49975) requested /index.html
[2025-02-21 20:19:53] ('127.0.0.1', 50155) requested /about.html
[2025-02-21 20:28:43] ('127.0.0.1', 56246) requested /about.html
[2025-02-21 20:28:43] ('127.0.0.1', 56249) requested /css/style.css
[2025-02-21 20:28:43] ('127.0.0.1', 56255) requested /images/logo.png
[2025-02-21 20:28:46] ('127.0.0.1', 56285) requested /index.html
[2025-02-21 20:29:06] ('127.0.0.1', 56290) requested /css/style.css
[2025-02-21 20:29:08] ('127.0.0.1', 56535) requested /index.html
[2025-02-21 20:29:23] ('127.0.0.1', 56563) requested /images/logo.png
[2025-02-21 20:34:52] ('127.0.0.1', 58785) requested /index.html
[2025-02-21 20:35:06] ('127.0.0.1', 58957) requested /images/logo.png
[2025-02-21 20:35:15] ('127.0.0.1', 58960) requested /css/style.css
[2025-02-21 22:31:06] ('192.168.254.1', 65005) requested /index.html
[2025-02-21 22:31:06] ('192.168.254.1', 65006) requested /favicon.ico
